date,symbol,equity,cash,positions
2020-01-02,AMD,100000.0,100000.0,0
2020-01-03,AMD,100000.0,100000.0,0
2020-01-06,AMD,100000.0,100000.0,0
2020-01-07,AMD,100000.0,100000.0,0
2020-01-08,AMD,100000.0,100000.0,0
2020-01-09,AMD,100000.0,100000.0,0
2020-01-10,AMD,100000.0,100000.0,0
2020-01-13,AMD,100000.0,100000.0,0
2020-01-14,AMD,100000.0,100000.0,0
2020-01-15,AMD,100000.0,100000.0,0
2020-01-16,AMD,100000.0,100000.0,0
2020-01-17,AMD,100000.0,100000.0,0
2020-01-21,AMD,100000.0,100000.0,0
2020-01-22,AMD,100000.0,100000.0,0
2020-01-23,AMD,100000.0,100000.0,0
2020-01-24,AMD,100000.0,100000.0,0
2020-01-27,AMD,100000.0,100000.0,0
2020-01-28,AMD,100000.0,100000.0,0
2020-01-29,AMD,100000.0,100000.0,0
2020-01-30,AMD,100000.0,100000.0,0
2020-01-31,AMD,100000.0,100000.0,0
2020-02-03,AMD,100000.0,100000.0,0
2020-02-04,AMD,100000.0,100000.0,0
2020-02-05,AMD,100000.0,100000.0,0
2020-02-06,AMD,100000.0,100000.0,0
2020-02-07,AMD,100000.0,100000.0,0
2020-02-10,AMD,100000.0,100000.0,0
2020-02-11,AMD,100000.0,100000.0,0
2020-02-12,AMD,100000.0,100000.0,0
2020-02-13,AMD,100000.0,100000.0,0
2020-02-14,AMD,100000.0,100000.0,0
2020-02-18,AMD,100000.0,100000.0,0
2020-02-19,AMD,100000.0,100000.0,0
2020-02-20,AMD,100000.0,100000.0,0
2020-02-21,AMD,100000.0,100000.0,0
2020-02-24,AMD,100000.0,100000.0,0
2020-02-25,AMD,100000.0,100000.0,0
2020-02-26,AMD,100000.0,100000.0,0
2020-02-27,AMD,100000.0,100000.0,0
2020-02-28,AMD,100000.0,100000.0,0
2020-03-02,AMD,100000.0,100000.0,0
2020-03-03,AMD,100000.0,100000.0,0
2020-03-04,AMD,100000.0,100000.0,0
2020-03-05,AMD,100000.0,100000.0,0
2020-03-06,AMD,100000.0,100000.0,0
2020-03-09,AMD,100000.0,100000.0,0
2020-03-10,AMD,90482.04,89999.63,1
2020-03-11,AMD,90555.96,89999.63,1
2020-03-12,AMD,100551.05,100551.05,0
2020-03-13,AMD,91772.19,90520.47,1
2020-03-16,AMD,101797.13,101797.13,0
2020-03-17,AMD,101797.13,101797.13,0
2020-03-18,AMD,101797.13,101797.13,0
2020-03-19,AMD,101797.13,101797.13,0
2020-03-20,AMD,101797.13,101797.13,0
2020-03-23,AMD,101797.13,101797.13,0
2020-03-24,AMD,101797.13,101797.13,0
2020-03-25,AMD,101797.13,101797.13,0
2020-03-26,AMD,101797.13,101797.13,0
2020-03-27,AMD,101797.13,101797.13,0
2020-03-30,AMD,101797.13,101797.13,0
2020-03-31,AMD,101797.13,101797.13,0
2020-04-01,AMD,101797.13,101797.13,0
2020-04-02,AMD,101797.13,101797.13,0
2020-04-03,AMD,101797.13,101797.13,0
2020-04-06,AMD,101797.13,101797.13,0
2020-04-07,AMD,101797.13,101797.13,0
2020-04-08,AMD,101797.13,101797.13,0
2020-04-09,AMD,101797.13,101797.13,0
2020-04-13,AMD,101797.13,101797.13,0
