date,symbol,equity,cash,positions
2025-12-08,BRIA,100000.0,100000.0,0
2025-12-09,BRIA,100000.0,100000.0,0
2025-12-10,BRIA,100000.0,100000.0,0
2025-12-11,BRIA,100000.0,100000.0,0
2025-12-12,BRIA,100000.0,100000.0,0
2025-12-15,BRIA,100000.0,100000.0,0
2025-12-16,BRIA,100000.0,100000.0,0
2025-12-17,BRIA,100000.0,100000.0,0
2025-12-18,BRIA,100000.0,100000.0,0
2025-12-19,BRIA,100000.0,100000.0,0
2025-12-22,BRIA,100000.0,100000.0,0
2025-12-23,BRIA,100000.0,100000.0,0
2025-12-24,BRIA,100000.0,100000.0,0
2025-12-26,BRIA,100000.0,100000.0,0
2025-12-29,BRIA,100000.0,100000.0,0
2025-12-30,BRIA,100000.0,100000.0,0
