date,symbol,equity,cash,positions
2026-05-11,GFAI,100000.0,100000.0,0
2026-05-12,GFAI,100000.0,100000.0,0
2026-05-13,GFAI,100000.0,100000.0,0
2026-05-14,GFAI,100000.0,100000.0,0
2026-05-15,GFAI,100000.0,100000.0,0
2026-05-18,GFAI,100000.0,100000.0,0
2026-05-19,GFAI,100000.0,100000.0,0
2026-05-20,GFAI,100000.0,100000.0,0
2026-05-21,GFAI,100000.0,100000.0,0
2026-05-22,GFAI,100000.0,100000.0,0
2026-05-26,GFAI,100000.0,100000.0,0
2026-05-27,GFAI,100000.0,100000.0,0
2026-05-28,GFAI,100000.0,100000.0,0
2026-05-29,GFAI,100000.0,100000.0,0
2026-06-01,GFAI,100000.0,100000.0,0
2026-06-02,GFAI,100000.0,100000.0,0
2026-06-03,GFAI,100000.0,100000.0,0
2026-06-04,GFAI,100000.0,100000.0,0
2026-06-05,GFAI,100000.0,100000.0,0
2026-06-08,GFAI,100000.0,100000.0,0
