date,symbol,equity,cash,positions
2020-01-02,GOOGL,100000,100000,0
2020-01-03,GOOGL,100000,100000,0
2020-01-06,GOOGL,100000,100000,0
2020-01-07,GOOGL,100000,100000,0
2020-01-08,GOOGL,100000,100000,0
2020-01-09,GOOGL,100000,100000,0
2020-01-10,GOOGL,100000,100000,0
2020-01-13,GOOGL,100000,100000,0
2020-01-14,GOOGL,100000,100000,0
2020-01-15,GOOGL,100000,100000,0
2020-01-16,GOOGL,100000,100000,0
2020-01-17,GOOGL,100000,100000,0
2020-01-21,GOOGL,100000,100000,0
2020-01-22,GOOGL,100000,100000,0
2020-01-23,GOOGL,100000,100000,0
2020-01-24,GOOGL,100000,100000,0
2020-01-27,GOOGL,100000,100000,0
2020-01-28,GOOGL,100000,100000,0
2020-01-29,GOOGL,100000,100000,0
2020-01-30,GOOGL,100000,100000,0
2020-01-31,GOOGL,100000,100000,0
2020-02-03,GOOGL,100000,100000,0
2020-02-04,GOOGL,100000,100000,0
2020-02-05,GOOGL,100000,100000,0
2020-02-06,GOOGL,100000,100000,0
2020-02-07,GOOGL,100000,100000,0
2020-02-10,GOOGL,100000,100000,0
2020-02-11,GOOGL,100000,100000,0
2020-02-12,GOOGL,100000,100000,0
2020-02-13,GOOGL,100000,100000,0
2020-02-14,GOOGL,100000,100000,0
2020-02-18,GOOGL,100000,100000,0
2020-02-19,GOOGL,100000,100000,0
2020-02-20,GOOGL,100000,100000,0
2020-02-21,GOOGL,100000,100000,0
2020-02-24,GOOGL,100000,100000,0
2020-02-25,GOOGL,100000,100000,0
2020-02-26,GOOGL,100000,100000,0
2020-02-27,GOOGL,100000,100000,0
2020-02-28,GOOGL,90197.49,90018.1,1
2020-03-02,GOOGL,90554.62,90018.1,1
2020-03-03,GOOGL,100531.26,100531.26,0
2020-03-04,GOOGL,90832.82,90509.25,1
2020-03-05,GOOGL,90332.32,90509.25,1
2020-03-06,GOOGL,90189.89,90509.25,1
2020-03-09,GOOGL,89622.89,90242.4,1
2020-03-10,GOOGL,90110.74,89629.84,1
2020-03-11,GOOGL,89584.86,89629.84,1
2020-03-12,GOOGL,88771.94,89629.84,1
2020-03-13,GOOGL,89755.53,88848.65,1
2020-03-16,GOOGL,99621.89,99621.89,0
2020-03-17,GOOGL,99621.89,99621.89,0
2020-03-18,GOOGL,99621.89,99621.89,0
2020-03-19,GOOGL,99621.89,99621.89,0
2020-03-20,GOOGL,99621.89,99621.89,0
2020-03-23,GOOGL,99621.89,99621.89,0
2020-03-24,GOOGL,99621.89,99621.89,0
2020-03-25,GOOGL,99621.89,99621.89,0
2020-03-26,GOOGL,99621.89,99621.89,0
2020-03-27,GOOGL,99621.89,99621.89,0
2020-03-30,GOOGL,99621.89,99621.89,0
2020-03-31,GOOGL,99621.89,99621.89,0
2020-04-01,GOOGL,99621.89,99621.89,0
2020-04-02,GOOGL,99621.89,99621.89,0
2020-04-03,GOOGL,99621.89,99621.89,0
2020-04-06,GOOGL,99621.89,99621.89,0
2020-04-07,GOOGL,99621.89,99621.89,0
2020-04-08,GOOGL,99621.89,99621.89,0
2020-04-09,GOOGL,99621.89,99621.89,0
2020-04-13,GOOGL,99621.89,99621.89,0
2020-04-14,GOOGL,99621.89,99621.89,0
2020-04-15,GOOGL,99621.89,99621.89,0
2020-04-16,GOOGL,99621.89,99621.89,0
2020-04-17,GOOGL,99621.89,99621.89,0
2020-04-20,GOOGL,109708.76,109574.76,1
2020-04-21,GOOGL,110090.18,109574.76,1
2020-04-22,GOOGL,110085.46,110085.46,0
2020-04-23,GOOGL,120946.34,121063.2,1
2020-04-24,GOOGL,120898.95,121063.2,1
2020-04-27,GOOGL,120949.05,121063.2,1
2020-04-28,GOOGL,121283.06,121063.2,1
2020-04-29,GOOGL,120326.57,121063.2,1
2020-04-30,GOOGL,120320.72,120320.72,0
2020-05-01,GOOGL,120320.72,120320.72,0
2020-05-04,GOOGL,120320.72,120320.72,0
2020-05-05,GOOGL,120320.72,120320.72,0
2020-05-06,GOOGL,120320.72,120320.72,0
2020-05-07,GOOGL,120320.72,120320.72,0
2020-05-08,GOOGL,120320.72,120320.72,0
2020-05-11,GOOGL,120320.72,120320.72,0
2020-05-12,GOOGL,132522.99,132286.66,1
2020-05-13,GOOGL,132752.01,132286.66,1
2020-05-14,GOOGL,132679.25,132286.66,1
