date,symbol,equity,cash,positions
2026-05-11,KULR,100000.0,100000.0,0
2026-05-12,KULR,100000.0,100000.0,0
2026-05-13,KULR,100000.0,100000.0,0
2026-05-14,KULR,100000.0,100000.0,0
2026-05-15,KULR,100000.0,100000.0,0
2026-05-18,KULR,100000.0,100000.0,0
2026-05-19,KULR,100000.0,100000.0,0
2026-05-20,KULR,100000.0,100000.0,0
2026-05-21,KULR,100000.0,100000.0,0
2026-05-22,KULR,100000.0,100000.0,0
2026-05-26,KULR,100000.0,100000.0,0
2026-05-27,KULR,100000.0,100000.0,0
2026-05-28,KULR,100000.0,100000.0,0
2026-05-29,KULR,100000.0,100000.0,0
2026-06-01,KULR,100000.0,100000.0,0
2026-06-02,KULR,100000.0,100000.0,0
2026-06-03,KULR,100000.0,100000.0,0
2026-06-04,KULR,100000.0,100000.0,0
2026-06-05,KULR,100000.0,100000.0,0
2026-06-08,KULR,100000.0,100000.0,0
