date,symbol,equity,cash,positions
2026-05-11,MARA,100000.0,100000.0,0
2026-05-12,MARA,100000.0,100000.0,0
2026-05-13,MARA,100000.0,100000.0,0
2026-05-14,MARA,100000.0,100000.0,0
2026-05-15,MARA,100000.0,100000.0,0
2026-05-18,MARA,100000.0,100000.0,0
2026-05-19,MARA,100000.0,100000.0,0
2026-05-20,MARA,100000.0,100000.0,0
2026-05-21,MARA,100000.0,100000.0,0
2026-05-22,MARA,100000.0,100000.0,0
2026-05-26,MARA,100000.0,100000.0,0
2026-05-27,MARA,100000.0,100000.0,0
2026-05-28,MARA,100000.0,100000.0,0
2026-05-29,MARA,100000.0,100000.0,0
2026-06-01,MARA,100000.0,100000.0,0
2026-06-02,MARA,100000.0,100000.0,0
2026-06-03,MARA,100000.0,100000.0,0
2026-06-04,MARA,100000.0,100000.0,0
2026-06-05,MARA,100000.0,100000.0,0
2026-06-08,MARA,100000.0,100000.0,0
