date,symbol,equity,cash,positions
2023-06-09,META,100000.0,100000.0,0
2023-06-12,META,100000.0,100000.0,0
2023-06-13,META,100000.0,100000.0,0
2023-06-14,META,100000.0,100000.0,0
2023-06-15,META,100000.0,100000.0,0
2023-06-16,META,100000.0,100000.0,0
2023-06-20,META,100000.0,100000.0,0
2023-06-21,META,100000.0,100000.0,0
2023-06-22,META,100000.0,100000.0,0
2023-06-23,META,100000.0,100000.0,0
2023-06-26,META,100000.0,100000.0,0
2023-06-27,META,100000.0,100000.0,0
2023-06-28,META,100000.0,100000.0,0
2023-06-29,META,100000.0,100000.0,0
2023-06-30,META,100000.0,100000.0,0
2023-07-03,META,100000.0,100000.0,0
2023-07-05,META,100000.0,100000.0,0
2023-07-06,META,100000.0,100000.0,0
2023-07-07,META,100000.0,100000.0,0
2023-07-10,META,100000.0,100000.0,0
2023-07-11,META,100000.0,100000.0,0
2023-07-12,META,100000.0,100000.0,0
2023-07-13,META,100000.0,100000.0,0
2023-07-14,META,100000.0,100000.0,0
2023-07-17,META,100000.0,100000.0,0
2023-07-18,META,100000.0,100000.0,0
2023-07-19,META,100000.0,100000.0,0
2023-07-20,META,100000.0,100000.0,0
2023-07-21,META,100000.0,100000.0,0
2023-07-24,META,100000.0,100000.0,0
2023-07-25,META,100000.0,100000.0,0
2023-07-26,META,100000.0,100000.0,0
2023-07-27,META,100000.0,100000.0,0
2023-07-28,META,100000.0,100000.0,0
2023-07-31,META,100000.0,100000.0,0
2023-08-01,META,100000.0,100000.0,0
2023-08-02,META,100000.0,100000.0,0
2023-08-03,META,100000.0,100000.0,0
2023-08-04,META,100000.0,100000.0,0
2023-08-07,META,100000.0,100000.0,0
2023-08-08,META,100000.0,100000.0,0
2023-08-09,META,100000.0,100000.0,0
2023-08-10,META,100000.0,100000.0,0
2023-08-11,META,100000.0,100000.0,0
2023-08-14,META,100000.0,100000.0,0
2023-08-15,META,100000.0,100000.0,0
2023-08-16,META,100000.0,100000.0,0
2023-08-17,META,100000.0,100000.0,0
2023-08-18,META,90025.74,90094.59,1
2023-08-21,META,90256.68,90094.59,1
2023-08-22,META,90176.81,90094.59,1
2023-08-23,META,90407.4,90094.59,1
2023-08-24,META,90147.29,90094.59,1
2023-08-25,META,90103.88,90094.59,1
2023-08-28,META,90269.18,90094.59,1
2023-08-29,META,90537.63,90094.59,1
2023-08-30,META,90437.26,90094.59,1
2023-08-31,META,90464.7,90094.59,1
2023-09-01,META,90481.72,90094.59,1
2023-09-05,META,90612.64,90094.59,1
2023-09-06,META,100512.83,100512.83,0
2023-09-07,META,100512.83,100512.83,0
2023-09-08,META,100512.83,100512.83,0
2023-09-11,META,100512.83,100512.83,0
2023-09-12,META,100512.83,100512.83,0
2023-09-13,META,100512.83,100512.83,0
2023-09-14,META,100512.83,100512.83,0
2023-09-15,META,100512.83,100512.83,0
2023-09-18,META,100512.83,100512.83,0
2023-09-19,META,100512.83,100512.83,0
2023-09-20,META,100512.83,100512.83,0
2023-09-21,META,100512.83,100512.83,0
2023-09-22,META,100512.83,100512.83,0
2023-09-25,META,100512.83,100512.83,0
2023-09-26,META,100512.83,100512.83,0
2023-09-27,META,100512.83,100512.83,0
2023-09-28,META,100512.83,100512.83,0
2023-09-29,META,100512.83,100512.83,0
2023-10-02,META,100512.83,100512.83,0
2023-10-03,META,100512.83,100512.83,0
2023-10-04,META,100512.83,100512.83,0
2023-10-05,META,100512.83,100512.83,0
2023-10-06,META,100512.83,100512.83,0
2023-10-09,META,100512.83,100512.83,0
2023-10-10,META,100512.83,100512.83,0
2023-10-11,META,100512.83,100512.83,0
2023-10-12,META,100512.83,100512.83,0
2023-10-13,META,100512.83,100512.83,0
2023-10-16,META,100512.83,100512.83,0
2023-10-17,META,100512.83,100512.83,0
2023-10-18,META,100512.83,100512.83,0
2023-10-19,META,100512.83,100512.83,0
2023-10-20,META,100512.83,100512.83,0
2023-10-23,META,100512.83,100512.83,0
2023-10-24,META,100512.83,100512.83,0
2023-10-25,META,100512.83,100512.83,0
2023-10-26,META,100512.83,100512.83,0
2023-10-27,META,100512.83,100512.83,0
2023-10-30,META,100512.83,100512.83,0
2023-10-31,META,100512.83,100512.83,0
2023-11-01,META,100512.83,100512.83,0
2023-11-02,META,100512.83,100512.83,0
2023-11-03,META,100512.83,100512.83,0
2023-11-06,META,100512.83,100512.83,0
2023-11-07,META,100512.83,100512.83,0
2023-11-08,META,100512.83,100512.83,0
2023-11-09,META,100512.83,100512.83,0
2023-11-10,META,100512.83,100512.83,0
2023-11-13,META,100512.83,100512.83,0
2023-11-14,META,100512.83,100512.83,0
2023-11-15,META,100512.83,100512.83,0
2023-11-16,META,100512.83,100512.83,0
2023-11-17,META,100512.83,100512.83,0
2023-11-20,META,100512.83,100512.83,0
2023-11-21,META,100512.83,100512.83,0
2023-11-22,META,100512.83,100512.83,0
2023-11-24,META,100512.83,100512.83,0
2023-11-27,META,100512.83,100512.83,0
2023-11-28,META,100512.83,100512.83,0
2023-11-29,META,100512.83,100512.83,0
2023-11-30,META,100512.83,100512.83,0
2023-12-01,META,100512.83,100512.83,0
2023-12-04,META,100512.83,100512.83,0
2023-12-05,META,100512.83,100512.83,0
2023-12-06,META,100512.83,100512.83,0
2023-12-07,META,100512.83,100512.83,0
2023-12-08,META,100512.83,100512.83,0
2023-12-11,META,100512.83,100512.83,0
2023-12-12,META,100512.83,100512.83,0
2023-12-13,META,100512.83,100512.83,0
2023-12-14,META,100512.83,100512.83,0
2023-12-15,META,100512.83,100512.83,0
2023-12-18,META,100512.83,100512.83,0
2023-12-19,META,100512.83,100512.83,0
2023-12-20,META,100512.83,100512.83,0
2023-12-21,META,100512.83,100512.83,0
2023-12-22,META,100512.83,100512.83,0
2023-12-26,META,100512.83,100512.83,0
2023-12-27,META,100512.83,100512.83,0
2023-12-28,META,100512.83,100512.83,0
2023-12-29,META,100512.83,100512.83,0
2024-01-02,META,100512.83,100512.83,0
2024-01-03,META,100512.83,100512.83,0
2024-01-04,META,100512.83,100512.83,0
2024-01-05,META,100512.83,100512.83,0
2024-01-08,META,100512.83,100512.83,0
2024-01-09,META,100512.83,100512.83,0
2024-01-10,META,100512.83,100512.83,0
2024-01-11,META,100512.83,100512.83,0
2024-01-12,META,100512.83,100512.83,0
2024-01-16,META,100512.83,100512.83,0
2024-01-17,META,100512.83,100512.83,0
2024-01-18,META,100512.83,100512.83,0
2024-01-19,META,100512.83,100512.83,0
2024-01-22,META,100512.83,100512.83,0
2024-01-23,META,100512.83,100512.83,0
2024-01-24,META,100512.83,100512.83,0
2024-01-25,META,100512.83,100512.83,0
2024-01-26,META,100512.83,100512.83,0
2024-01-29,META,100512.83,100512.83,0
2024-01-30,META,100512.83,100512.83,0
2024-01-31,META,100512.83,100512.83,0
2024-02-01,META,100512.83,100512.83,0
2024-02-02,META,100512.83,100512.83,0
2024-02-05,META,100512.83,100512.83,0
2024-02-06,META,100512.83,100512.83,0
2024-02-07,META,100512.83,100512.83,0
2024-02-08,META,100512.83,100512.83,0
2024-02-09,META,100512.83,100512.83,0
2024-02-12,META,100512.83,100512.83,0
2024-02-13,META,100512.83,100512.83,0
2024-02-14,META,100512.83,100512.83,0
2024-02-15,META,100512.83,100512.83,0
2024-02-16,META,100512.83,100512.83,0
2024-02-20,META,100512.83,100512.83,0
2024-02-21,META,100512.83,100512.83,0
2024-02-22,META,100512.83,100512.83,0
2024-02-23,META,100512.83,100512.83,0
2024-02-26,META,100512.83,100512.83,0
2024-02-27,META,100512.83,100512.83,0
2024-02-28,META,100512.83,100512.83,0
2024-02-29,META,100512.83,100512.83,0
2024-03-01,META,100512.83,100512.83,0
2024-03-04,META,100512.83,100512.83,0
2024-03-05,META,100512.83,100512.83,0
2024-03-06,META,100512.83,100512.83,0
2024-03-07,META,100512.83,100512.83,0
2024-03-08,META,100512.83,100512.83,0
2024-03-11,META,100512.83,100512.83,0
2024-03-12,META,100512.83,100512.83,0
2024-03-13,META,100512.83,100512.83,0
2024-03-14,META,100512.83,100512.83,0
2024-03-15,META,100512.83,100512.83,0
2024-03-18,META,100512.83,100512.83,0
2024-03-19,META,100512.83,100512.83,0
2024-03-20,META,100512.83,100512.83,0
2024-03-21,META,100512.83,100512.83,0
2024-03-22,META,100512.83,100512.83,0
2024-03-25,META,100512.83,100512.83,0
2024-03-26,META,100512.83,100512.83,0
2024-03-27,META,100512.83,100512.83,0
2024-03-28,META,100512.83,100512.83,0
2024-04-01,META,100512.83,100512.83,0
2024-04-02,META,100512.83,100512.83,0
2024-04-03,META,100512.83,100512.83,0
2024-04-04,META,100512.83,100512.83,0
2024-04-05,META,100512.83,100512.83,0
2024-04-08,META,100512.83,100512.83,0
2024-04-09,META,100512.83,100512.83,0
2024-04-10,META,100512.83,100512.83,0
2024-04-11,META,100512.83,100512.83,0
2024-04-12,META,100512.83,100512.83,0
2024-04-15,META,100512.83,100512.83,0
2024-04-16,META,100512.83,100512.83,0
2024-04-17,META,100512.83,100512.83,0
2024-04-18,META,100512.83,100512.83,0
2024-04-19,META,100512.83,100512.83,0
2024-04-22,META,100512.83,100512.83,0
2024-04-23,META,100512.83,100512.83,0
2024-04-24,META,100512.83,100512.83,0
2024-04-25,META,100512.83,100512.83,0
2024-04-26,META,90899.95,90863.04,1
2024-04-29,META,90666.79,90863.04,1
2024-04-30,META,90362.75,90423.66,1
2024-05-01,META,90568.81,90423.66,1
2024-05-02,META,90625.7,90423.66,1
2024-05-03,META,90860.54,90423.66,1
2024-05-06,META,91173.98,90423.66,1
2024-05-07,META,101056.86,101056.86,0
2024-05-08,META,101056.86,101056.86,0
2024-05-09,META,101056.86,101056.86,0
2024-05-10,META,101056.86,101056.86,0
2024-05-13,META,101056.86,101056.86,0
2024-05-14,META,101056.86,101056.86,0
2024-05-15,META,101056.86,101056.86,0
2024-05-16,META,101056.86,101056.86,0
2024-05-17,META,101056.86,101056.86,0
2024-05-20,META,101056.86,101056.86,0
2024-05-21,META,101056.86,101056.86,0
2024-05-22,META,101056.86,101056.86,0
2024-05-23,META,101056.86,101056.86,0
2024-05-24,META,101056.86,101056.86,0
2024-05-28,META,101056.86,101056.86,0
2024-05-29,META,101056.86,101056.86,0
2024-05-30,META,101056.86,101056.86,0
2024-05-31,META,101056.86,101056.86,0
2024-06-03,META,101056.86,101056.86,0
2024-06-04,META,101056.86,101056.86,0
2024-06-05,META,101056.86,101056.86,0
2024-06-06,META,101056.86,101056.86,0
2024-06-07,META,101056.86,101056.86,0
2024-06-10,META,101056.86,101056.86,0
2024-06-11,META,101056.86,101056.86,0
2024-06-12,META,101056.86,101056.86,0
2024-06-13,META,101056.86,101056.86,0
2024-06-14,META,101056.86,101056.86,0
2024-06-17,META,101056.86,101056.86,0
2024-06-18,META,101056.86,101056.86,0
2024-06-20,META,101056.86,101056.86,0
2024-06-21,META,101056.86,101056.86,0
2024-06-24,META,101056.86,101056.86,0
2024-06-25,META,101056.86,101056.86,0
2024-06-26,META,101056.86,101056.86,0
2024-06-27,META,101056.86,101056.86,0
2024-06-28,META,101056.86,101056.86,0
2024-07-01,META,101056.86,101056.86,0
2024-07-02,META,101056.86,101056.86,0
2024-07-03,META,101056.86,101056.86,0
2024-07-05,META,101056.86,101056.86,0
2024-07-08,META,101056.86,101056.86,0
2024-07-09,META,101056.86,101056.86,0
2024-07-10,META,101056.86,101056.86,0
2024-07-11,META,101056.86,101056.86,0
2024-07-12,META,101056.86,101056.86,0
2024-07-15,META,101056.86,101056.86,0
2024-07-16,META,101056.86,101056.86,0
2024-07-17,META,101056.86,101056.86,0
2024-07-18,META,101056.86,101056.86,0
2024-07-19,META,101056.86,101056.86,0
2024-07-22,META,101056.86,101056.86,0
2024-07-23,META,101056.86,101056.86,0
2024-07-24,META,101056.86,101056.86,0
2024-07-25,META,101056.86,101056.86,0
2024-07-26,META,91398.08,91134.21,1
2024-07-29,META,91398.3,91134.21,1
2024-07-30,META,91343.18,91134.21,1
2024-07-31,META,91597.79,91134.21,1
2024-08-01,META,92098.91,91134.21,1
2024-08-02,META,102016.11,102016.11,0
2024-08-05,META,102016.11,102016.11,0
2024-08-06,META,102016.11,102016.11,0
2024-08-07,META,102016.11,102016.11,0
2024-08-08,META,102016.11,102016.11,0
2024-08-09,META,102016.11,102016.11,0
2024-08-12,META,102016.11,102016.11,0
2024-08-13,META,102016.11,102016.11,0
2024-08-14,META,102016.11,102016.11,0
2024-08-15,META,102016.11,102016.11,0
2024-08-16,META,102016.11,102016.11,0
2024-08-19,META,102016.11,102016.11,0
2024-08-20,META,102016.11,102016.11,0
2024-08-21,META,102016.11,102016.11,0
2024-08-22,META,102016.11,102016.11,0
2024-08-23,META,102016.11,102016.11,0
2024-08-26,META,102016.11,102016.11,0
2024-08-27,META,102016.11,102016.11,0
2024-08-28,META,102016.11,102016.11,0
2024-08-29,META,102016.11,102016.11,0
2024-08-30,META,102016.11,102016.11,0
2024-09-03,META,102016.11,102016.11,0
2024-09-04,META,102016.11,102016.11,0
2024-09-05,META,102016.11,102016.11,0
2024-09-06,META,102016.11,102016.11,0
2024-09-09,META,92148.15,92063.24,1
2024-09-10,META,92148.15,92063.24,1
2024-09-11,META,92288.14,92063.24,1
2024-09-12,META,92561.96,92063.24,1
2024-09-13,META,102509.6,102509.6,0
2024-09-16,META,102509.6,102509.6,0
2024-09-17,META,102509.6,102509.6,0
2024-09-18,META,102509.6,102509.6,0
2024-09-19,META,102509.6,102509.6,0
2024-09-20,META,102509.6,102509.6,0
2024-09-23,META,102509.6,102509.6,0
2024-09-24,META,102509.6,102509.6,0
2024-09-25,META,102509.6,102509.6,0
2024-09-26,META,102509.6,102509.6,0
2024-09-27,META,102509.6,102509.6,0
2024-09-30,META,102509.6,102509.6,0
2024-10-01,META,102509.6,102509.6,0
2024-10-02,META,102509.6,102509.6,0
2024-10-03,META,102509.6,102509.6,0
2024-10-04,META,102509.6,102509.6,0
2024-10-07,META,102509.6,102509.6,0
2024-10-08,META,102509.6,102509.6,0
2024-10-09,META,102509.6,102509.6,0
2024-10-10,META,102509.6,102509.6,0
2024-10-11,META,102509.6,102509.6,0
2024-10-14,META,102509.6,102509.6,0
2024-10-15,META,102509.6,102509.6,0
2024-10-16,META,102509.6,102509.6,0
2024-10-17,META,102509.6,102509.6,0
2024-10-18,META,102509.6,102509.6,0
2024-10-21,META,102509.6,102509.6,0
2024-10-22,META,102509.6,102509.6,0
2024-10-23,META,102509.6,102509.6,0
2024-10-24,META,102509.6,102509.6,0
2024-10-25,META,102509.6,102509.6,0
2024-10-28,META,102509.6,102509.6,0
2024-10-29,META,102509.6,102509.6,0
2024-10-30,META,102509.6,102509.6,0
2024-10-31,META,102509.6,102509.6,0
2024-11-01,META,102509.6,102509.6,0
2024-11-04,META,102509.6,102509.6,0
2024-11-05,META,102509.6,102509.6,0
2024-11-06,META,102509.6,102509.6,0
2024-11-07,META,102509.6,102509.6,0
2024-11-08,META,102509.6,102509.6,0
