date,symbol,equity,cash,positions
2020-01-02,MSFT,100000.0,100000.0,0
2020-01-03,MSFT,100000.0,100000.0,0
2020-01-06,MSFT,100000.0,100000.0,0
2020-01-07,MSFT,100000.0,100000.0,0
2020-01-08,MSFT,100000.0,100000.0,0
2020-01-09,MSFT,100000.0,100000.0,0
2020-01-10,MSFT,100000.0,100000.0,0
2020-01-13,MSFT,100000.0,100000.0,0
2020-01-14,MSFT,100000.0,100000.0,0
2020-01-15,MSFT,100000.0,100000.0,0
2020-01-16,MSFT,100000.0,100000.0,0
2020-01-17,MSFT,100000.0,100000.0,0
2020-01-21,MSFT,100000.0,100000.0,0
2020-01-22,MSFT,100000.0,100000.0,0
2020-01-23,MSFT,100000.0,100000.0,0
2020-01-24,MSFT,100000.0,100000.0,0
2020-01-27,MSFT,100000.0,100000.0,0
2020-01-28,MSFT,100000.0,100000.0,0
2020-01-29,MSFT,100000.0,100000.0,0
2020-01-30,MSFT,100000.0,100000.0,0
2020-01-31,MSFT,100000.0,100000.0,0
2020-02-03,MSFT,100000.0,100000.0,0
2020-02-04,MSFT,100000.0,100000.0,0
2020-02-05,MSFT,100000.0,100000.0,0
2020-02-06,MSFT,100000.0,100000.0,0
2020-02-07,MSFT,100000.0,100000.0,0
2020-02-10,MSFT,100000.0,100000.0,0
2020-02-11,MSFT,100000.0,100000.0,0
2020-02-12,MSFT,100000.0,100000.0,0
2020-02-13,MSFT,100000.0,100000.0,0
2020-02-14,MSFT,100000.0,100000.0,0
2020-02-18,MSFT,100000.0,100000.0,0
2020-02-19,MSFT,100000.0,100000.0,0
2020-02-20,MSFT,100000.0,100000.0,0
2020-02-21,MSFT,100000.0,100000.0,0
2020-02-24,MSFT,100000.0,100000.0,0
2020-02-25,MSFT,100000.0,100000.0,0
2020-02-26,MSFT,100000.0,100000.0,0
2020-02-27,MSFT,100000.0,100000.0,0
2020-02-28,MSFT,90334.23,90099.57,1
2020-03-02,MSFT,91008.6,90099.57,1
2020-03-03,MSFT,100903.63,100903.63,0
2020-03-04,MSFT,100903.63,100903.63,0
2020-03-05,MSFT,100903.63,100903.63,0
2020-03-06,MSFT,100903.63,100903.63,0
2020-03-09,MSFT,100903.63,100903.63,0
2020-03-10,MSFT,91583.43,90905.03,1
2020-03-11,MSFT,101576.69,101576.69,0
2020-03-12,MSFT,101576.69,101576.69,0
2020-03-13,MSFT,101576.69,101576.69,0
2020-03-16,MSFT,101576.69,101576.69,0
2020-03-17,MSFT,101576.69,101576.69,0
2020-03-18,MSFT,101576.69,101576.69,0
2020-03-19,MSFT,101576.69,101576.69,0
2020-03-20,MSFT,101576.69,101576.69,0
