date,symbol,equity,cash,positions
2026-05-11,PLUG,100000.0,100000.0,0
2026-05-12,PLUG,100000.0,100000.0,0
2026-05-13,PLUG,100000.0,100000.0,0
2026-05-14,PLUG,100000.0,100000.0,0
2026-05-15,PLUG,100000.0,100000.0,0
2026-05-18,PLUG,100000.0,100000.0,0
2026-05-19,PLUG,100000.0,100000.0,0
2026-05-20,PLUG,100000.0,100000.0,0
2026-05-21,PLUG,100000.0,100000.0,0
2026-05-22,PLUG,100000.0,100000.0,0
2026-05-26,PLUG,100000.0,100000.0,0
2026-05-27,PLUG,100000.0,100000.0,0
2026-05-28,PLUG,100000.0,100000.0,0
2026-05-29,PLUG,100000.0,100000.0,0
2026-06-01,PLUG,100000.0,100000.0,0
2026-06-02,PLUG,100000.0,100000.0,0
2026-06-03,PLUG,100000.0,100000.0,0
2026-06-04,PLUG,100000.0,100000.0,0
2026-06-05,PLUG,100000.0,100000.0,0
2026-06-08,PLUG,100000.0,100000.0,0
