date,symbol,equity,cash,positions
2020-01-02,TSLA,100000,100000,0
2020-01-03,TSLA,100000,100000,0
2020-01-06,TSLA,100000,100000,0
2020-01-07,TSLA,100000,100000,0
2020-01-08,TSLA,100000,100000,0
2020-01-09,TSLA,100000,100000,0
2020-01-10,TSLA,100000,100000,0
2020-01-13,TSLA,100000,100000,0
2020-01-14,TSLA,100000,100000,0
2020-01-15,TSLA,100000,100000,0
2020-01-16,TSLA,100000,100000,0
2020-01-17,TSLA,100000,100000,0
2020-01-21,TSLA,100000,100000,0
2020-01-22,TSLA,100000,100000,0
2020-01-23,TSLA,100000,100000,0
2020-01-24,TSLA,100000,100000,0
2020-01-27,TSLA,100000,100000,0
2020-01-28,TSLA,100000,100000,0
2020-01-29,TSLA,100000,100000,0
2020-01-30,TSLA,100000,100000,0
2020-01-31,TSLA,100000,100000,0
2020-02-03,TSLA,100000,100000,0
2020-02-04,TSLA,100000,100000,0
2020-02-05,TSLA,100000,100000,0
2020-02-06,TSLA,100000,100000,0
2020-02-07,TSLA,100000,100000,0
2020-02-10,TSLA,100000,100000,0
2020-02-11,TSLA,100000,100000,0
2020-02-12,TSLA,100000,100000,0
2020-02-13,TSLA,100000,100000,0
2020-02-14,TSLA,100000,100000,0
2020-02-18,TSLA,100000,100000,0
2020-02-19,TSLA,100000,100000,0
2020-02-20,TSLA,100000,100000,0
2020-02-21,TSLA,100000,100000,0
2020-02-24,TSLA,100000,100000,0
2020-02-25,TSLA,100000,100000,0
2020-02-26,TSLA,100000,100000,0
2020-02-27,TSLA,100000,100000,0
2020-02-28,TSLA,100000,100000,0
2020-03-02,TSLA,100000,100000,0
2020-03-03,TSLA,100000,100000,0
2020-03-04,TSLA,100000,100000,0
2020-03-05,TSLA,100000,100000,0
2020-03-06,TSLA,100000,100000,0
2020-03-09,TSLA,100000,100000,0
2020-03-10,TSLA,100000,100000,0
2020-03-11,TSLA,89837.24,90013.91,1
2020-03-12,TSLA,88697.65,90013.91,1
2020-03-13,TSLA,88558.7,88808.8,1
2020-03-16,TSLA,86747.6,88580.42,1
2020-03-17,TSLA,86612.66,86939.67,1
2020-03-18,TSLA,85098.05,86643.41,1
2020-03-19,TSLA,86973.39,85237.92,1
2020-03-20,TSLA,96436.49,96436.49,0
2020-03-23,TSLA,86945.5,86797.99,1
2020-03-24,TSLA,88538.84,86797.99,1
2020-03-25,TSLA,98171.64,98171.64,0
2020-03-26,TSLA,98171.64,98171.64,0
2020-03-27,TSLA,98171.64,98171.64,0
2020-03-30,TSLA,98171.64,98171.64,0
2020-03-31,TSLA,98171.64,98171.64,0
2020-04-01,TSLA,98171.64,98171.64,0
2020-04-02,TSLA,98171.64,98171.64,0
2020-04-03,TSLA,98171.64,98171.64,0
2020-04-06,TSLA,98171.64,98171.64,0
2020-04-07,TSLA,98171.64,98171.64,0
2020-04-08,TSLA,98171.64,98171.64,0
2020-04-09,TSLA,98171.64,98171.64,0
2020-04-13,TSLA,98171.64,98171.64,0
2020-04-14,TSLA,107081.45,107974.38,1
2020-04-15,TSLA,107076.1,107076.1,0
2020-04-16,TSLA,107076.1,107076.1,0
2020-04-17,TSLA,117622.35,117752.1,1
2020-04-20,TSLA,117730.28,117752.1,1
2020-04-21,TSLA,118585.12,117752.1,1
2020-04-22,TSLA,118580.2,118580.2,0
