date,symbol,equity,cash,positions
2020-01-02,AAPL,100000,100000,0
2020-01-03,AAPL,100000,100000,0
2020-01-06,AAPL,100000,100000,0
2020-01-07,AAPL,100000,100000,0
2020-01-08,AAPL,100000,100000,0
2020-01-09,AAPL,100000,100000,0
2020-01-10,AAPL,100000,100000,0
2020-01-13,AAPL,100000,100000,0
2020-01-14,AAPL,100000,100000,0
2020-01-15,AAPL,100000,100000,0
2020-01-16,AAPL,100000,100000,0
2020-01-17,AAPL,100000,100000,0
2020-01-21,AAPL,100000,100000,0
2020-01-22,AAPL,100000,100000,0
2020-01-23,AAPL,100000,100000,0
2020-01-24,AAPL,100000,100000,0
2020-01-27,AAPL,100000,100000,0
2020-01-28,AAPL,100000,100000,0
2020-01-29,AAPL,100000,100000,0
2020-01-30,AAPL,100000,100000,0
2020-01-31,AAPL,100000,100000,0
2020-02-03,AAPL,100000,100000,0
2020-02-04,AAPL,100000,100000,0
2020-02-05,AAPL,100000,100000,0
2020-02-06,AAPL,100000,100000,0
2020-02-07,AAPL,100000,100000,0
2020-02-10,AAPL,100000,100000,0
2020-02-11,AAPL,100000,100000,0
2020-02-12,AAPL,100000,100000,0
2020-02-13,AAPL,100000,100000,0
2020-02-14,AAPL,100000,100000,0
2020-02-18,AAPL,100000,100000,0
2020-02-19,AAPL,100000,100000,0
2020-02-20,AAPL,100000,100000,0
2020-02-21,AAPL,100000,100000,0
2020-02-24,AAPL,100000,100000,0
2020-02-25,AAPL,100000,100000,0
2020-02-26,AAPL,90203.09,90050.3,1
2020-02-27,AAPL,89542.71,90050.3,1
2020-02-28,AAPL,89567.68,89578.43,1
2020-03-02,AAPL,90489.24,89578.43,1
2020-03-03,AAPL,100393.09,100393.09,0
2020-03-04,AAPL,100393.09,100393.09,0
2020-03-05,AAPL,100393.09,100393.09,0
2020-03-06,AAPL,100393.09,100393.09,0
2020-03-09,AAPL,100393.09,100393.09,0
2020-03-10,AAPL,100393.09,100393.09,0
2020-03-11,AAPL,100393.09,100393.09,0
2020-03-12,AAPL,100393.09,100393.09,0
2020-03-13,AAPL,100393.09,100393.09,0
2020-03-16,AAPL,100393.09,100393.09,0
2020-03-17,AAPL,100393.09,100393.09,0
2020-03-18,AAPL,100393.09,100393.09,0
2020-03-19,AAPL,100393.09,100393.09,0
2020-03-20,AAPL,100393.09,100393.09,0
2020-03-23,AAPL,100393.09,100393.09,0
2020-03-24,AAPL,100393.09,100393.09,0
2020-03-25,AAPL,100393.09,100393.09,0
2020-03-26,AAPL,100393.09,100393.09,0
2020-03-27,AAPL,100393.09,100393.09,0
2020-03-30,AAPL,100393.09,100393.09,0
2020-03-31,AAPL,100393.09,100393.09,0
2020-04-01,AAPL,100393.09,100393.09,0
2020-04-02,AAPL,100393.09,100393.09,0
2020-04-03,AAPL,100393.09,100393.09,0
2020-04-06,AAPL,100393.09,100393.09,0
2020-04-07,AAPL,100393.09,100393.09,0
2020-04-08,AAPL,100393.09,100393.09,0
2020-04-09,AAPL,100393.09,100393.09,0
2020-04-13,AAPL,100393.09,100393.09,0
2020-04-14,AAPL,109903.15,110414.53,1
2020-04-15,AAPL,109897.88,109897.88,0
2020-04-16,AAPL,109897.88,109897.88,0
2020-04-17,AAPL,109897.88,109897.88,0
2020-04-20,AAPL,109897.88,109897.88,0
2020-04-21,AAPL,109897.88,109897.88,0
2020-04-22,AAPL,109897.88,109897.88,0
2020-04-23,AAPL,109897.88,109897.88,0
2020-04-24,AAPL,109897.88,109897.88,0
2020-04-27,AAPL,120808.83,120822.01,1
2020-04-28,AAPL,120986.11,120822.01,1
2020-04-29,AAPL,120632.7,120822.01,1
2020-04-30,AAPL,120398.24,120822.01,1
2020-05-01,AAPL,120392.57,120392.57,0
2020-05-04,AAPL,120392.57,120392.57,0
2020-05-05,AAPL,120392.57,120392.57,0
2020-05-06,AAPL,120392.57,120392.57,0
2020-05-07,AAPL,120392.57,120392.57,0
2020-05-08,AAPL,120392.57,120392.57,0
2020-05-11,AAPL,132202.63,132397.63,1
2020-05-12,AAPL,132342.05,132397.63,1
2020-05-13,AAPL,132487.67,132397.63,1
2020-05-14,AAPL,132414.47,132397.63,1
2020-05-15,AAPL,132485.35,132397.63,1
2020-05-18,AAPL,132204.56,132397.63,1
2020-05-19,AAPL,132275.05,132397.63,1
2020-05-20,AAPL,132039.19,132397.63,1
2020-05-21,AAPL,145254.02,145162.65,1
2020-05-22,AAPL,145170.08,145162.65,1
2020-05-26,AAPL,145258.96,145162.65,1
2020-05-27,AAPL,145202.17,145162.65,1
2020-05-28,AAPL,145196.41,145162.65,1
2020-05-29,AAPL,145209.17,145162.65,1
2020-06-01,AAPL,145048.27,145162.65,1
2020-06-02,AAPL,144986.96,145162.65,1
2020-06-03,AAPL,144913.71,145162.65,1
2020-06-04,AAPL,145028.93,145162.65,1
2020-06-05,AAPL,144651.18,145162.65,1
2020-06-08,AAPL,158988.06,159080.68,1
2020-06-09,AAPL,158529.26,159080.68,1
2020-06-10,AAPL,173919.32,174334.24,1
2020-06-11,AAPL,192063.95,191240.23,1
2020-06-12,AAPL,191921.46,191240.23,1
2020-06-15,AAPL,191715.57,191240.23,1
2020-06-16,AAPL,191268.91,191240.23,1
2020-06-17,AAPL,191292.98,191240.23,1
2020-06-18,AAPL,191286.1,191240.23,1
2020-06-19,AAPL,191384.87,191240.23,1
2020-06-22,AAPL,190935.26,191240.23,1
2020-06-23,AAPL,190558.87,191240.23,1
2020-06-24,AAPL,209852.35,209526.7,1
2020-06-25,AAPL,209604.75,209526.7,1
2020-06-26,AAPL,210185.43,209526.7,1
2020-06-29,AAPL,209763.26,209526.7,1
2020-06-30,AAPL,209606.82,209526.7,1
2020-07-01,AAPL,209642.56,209526.7,1
2020-07-02,AAPL,209642.56,209526.7,1
2020-07-06,AAPL,209138.03,209526.7,1
2020-07-07,AAPL,230076.18,230021.78,1
2020-07-08,AAPL,229590.84,230021.78,1
2020-07-09,AAPL,252352.52,252462.42,1
2020-07-10,AAPL,252312.3,252462.42,1
2020-07-13,AAPL,252418.55,252462.42,1
2020-07-14,AAPL,252039.16,252462.42,1
2020-07-15,AAPL,251878.88,252462.42,1
2020-07-16,AAPL,277320.61,277023.5,1
2020-07-17,AAPL,277370.84,277023.5,1
2020-07-20,AAPL,276848.02,277023.5,1
2020-07-21,AAPL,277197.64,277023.5,1
2020-07-22,AAPL,277127.46,277023.5,1
2020-07-23,AAPL,278267.75,277023.5,1
2020-07-24,AAPL,278326.99,277023.5,1
2020-07-27,AAPL,278315.06,278315.06,0
2020-07-28,AAPL,278315.06,278315.06,0
2020-07-29,AAPL,278315.06,278315.06,0
2020-07-30,AAPL,278315.06,278315.06,0
2020-07-31,AAPL,278315.06,278315.06,0
2020-08-03,AAPL,278315.06,278315.06,0
2020-08-04,AAPL,278315.06,278315.06,0
2020-08-05,AAPL,278315.06,278315.06,0
2020-08-06,AAPL,305130.47,306114.77,1
2020-08-07,AAPL,336215.94,335539.12,1
2020-08-10,AAPL,335783.58,335539.12,1
2020-08-11,AAPL,336681.09,335539.12,1
2020-08-12,AAPL,335707.94,335539.12,1
2020-08-13,AAPL,335172.53,335539.12,1
2020-08-14,AAPL,335199.96,335539.12,1
2020-08-17,AAPL,335280.28,335539.12,1
2020-08-18,AAPL,335024.62,335539.12,1
2020-08-19,AAPL,334985.8,335539.12,1
2020-08-20,AAPL,334298.44,335539.12,1
2020-08-21,AAPL,365913.42,367650.5,1
2020-08-24,AAPL,401974.73,402430.18,1
2020-08-25,AAPL,402278.19,402430.18,1
2020-08-26,AAPL,401779.29,402430.18,1
2020-08-27,AAPL,402223.82,402430.18,1
2020-08-28,AAPL,402283.32,402430.18,1
2020-08-31,AAPL,401039.39,402430.18,1
2020-09-01,AAPL,439437.9,441053.33,1
2020-09-02,AAPL,484142.83,483256.05,1
2020-09-03,AAPL,487581.63,483256.05,1
2020-09-04,AAPL,487561.87,487561.87,0
2020-09-08,AAPL,487561.87,487561.87,0
2020-09-09,AAPL,487561.87,487561.87,0
2020-09-10,AAPL,487561.87,487561.87,0
2020-09-11,AAPL,487561.87,487561.87,0
2020-09-14,AAPL,487561.87,487561.87,0
2020-09-15,AAPL,487561.87,487561.87,0
2020-09-16,AAPL,487561.87,487561.87,0
2020-09-17,AAPL,487561.87,487561.87,0
2020-09-18,AAPL,487561.87,487561.87,0
2020-09-21,AAPL,487561.87,487561.87,0
2020-09-22,AAPL,487561.87,487561.87,0
2020-09-23,AAPL,436775.31,438842.23,1
2020-09-24,AAPL,437398.39,436924.38,1
2020-09-25,AAPL,439237.48,436924.38,1
2020-09-28,AAPL,440451.46,436924.38,1
2020-09-29,AAPL,488972.66,488972.66,0
2020-09-30,AAPL,488972.66,488972.66,0
2020-10-01,AAPL,488972.66,488972.66,0
2020-10-02,AAPL,488972.66,488972.66,0
2020-10-05,AAPL,488972.66,488972.66,0
2020-10-06,AAPL,488972.66,488972.66,0
2020-10-07,AAPL,488972.66,488972.66,0
2020-10-08,AAPL,488972.66,488972.66,0
2020-10-09,AAPL,488972.66,488972.66,0
2020-10-12,AAPL,488972.66,488972.66,0
2020-10-13,AAPL,488972.66,488972.66,0
2020-10-14,AAPL,488972.66,488972.66,0
2020-10-15,AAPL,488972.66,488972.66,0
2020-10-16,AAPL,488972.66,488972.66,0
2020-10-19,AAPL,488972.66,488972.66,0
2020-10-20,AAPL,488972.66,488972.66,0
2020-10-21,AAPL,488972.66,488972.66,0
2020-10-22,AAPL,488972.66,488972.66,0
2020-10-23,AAPL,488972.66,488972.66,0
2020-10-26,AAPL,488972.66,488972.66,0
2020-10-27,AAPL,488972.66,488972.66,0
