date,symbol,equity,cash,positions
2020-01-02,TSLA,100000,100000,0
2020-01-03,TSLA,100000,100000,0
2020-01-06,TSLA,100000,100000,0
2020-01-07,TSLA,100000,100000,0
2020-01-08,TSLA,100000,100000,0
2020-01-09,TSLA,100000,100000,0
2020-01-10,TSLA,100000,100000,0
2020-01-13,TSLA,100000,100000,0
2020-01-14,TSLA,100000,100000,0
2020-01-15,TSLA,100000,100000,0
2020-01-16,TSLA,100000,100000,0
2020-01-17,TSLA,100000,100000,0
2020-01-21,TSLA,100000,100000,0
2020-01-22,TSLA,100000,100000,0
2020-01-23,TSLA,100000,100000,0
2020-01-24,TSLA,100000,100000,0
2020-01-27,TSLA,100000,100000,0
2020-01-28,TSLA,100000,100000,0
2020-01-29,TSLA,100000,100000,0
2020-01-30,TSLA,100000,100000,0
2020-01-31,TSLA,100000,100000,0
2020-02-03,TSLA,100000,100000,0
2020-02-04,TSLA,100000,100000,0
2020-02-05,TSLA,100000,100000,0
2020-02-06,TSLA,100000,100000,0
2020-02-07,TSLA,100000,100000,0
2020-02-10,TSLA,100000,100000,0
2020-02-11,TSLA,100000,100000,0
2020-02-12,TSLA,100000,100000,0
2020-02-13,TSLA,100000,100000,0
2020-02-14,TSLA,100000,100000,0
2020-02-18,TSLA,100000,100000,0
2020-02-19,TSLA,100000,100000,0
2020-02-20,TSLA,100000,100000,0
2020-02-21,TSLA,100000,100000,0
2020-02-24,TSLA,100000,100000,0
2020-02-25,TSLA,100000,100000,0
2020-02-26,TSLA,100000,100000,0
2020-02-27,TSLA,100000,100000,0
2020-02-28,TSLA,100000,100000,0
2020-03-02,TSLA,100000,100000,0
2020-03-03,TSLA,100000,100000,0
2020-03-04,TSLA,100000,100000,0
2020-03-05,TSLA,100000,100000,0
2020-03-06,TSLA,100000,100000,0
2020-03-09,TSLA,100000,100000,0
2020-03-10,TSLA,90631.04,90023.81,1
2020-03-11,TSLA,90395.37,90572.8,1
2020-03-12,TSLA,89250.87,90572.8,1
2020-03-13,TSLA,89116.6,89367.65,1
2020-03-16,TSLA,87299.63,89139.24,1
2020-03-17,TSLA,87139.75,87468.77,1
2020-03-18,TSLA,85617.87,87172.45,1
2020-03-19,TSLA,87511.22,85766.92,1
2020-03-20,TSLA,97022.47,97022.47,0
2020-03-23,TSLA,87475.33,87326.95,1
2020-03-24,TSLA,89078.09,87326.95,1
2020-03-25,TSLA,89562.71,88898.63,1
2020-03-26,TSLA,99426.71,99426.71,0
2020-03-27,TSLA,99426.71,99426.71,0
2020-03-30,TSLA,99426.71,99426.71,0
2020-03-31,TSLA,99426.71,99426.71,0
2020-04-01,TSLA,99426.71,99426.71,0
2020-04-02,TSLA,99426.71,99426.71,0
2020-04-03,TSLA,99426.71,99426.71,0
2020-04-06,TSLA,99426.71,99426.71,0
2020-04-07,TSLA,99426.71,99426.71,0
2020-04-08,TSLA,109282.28,109348.94,1
2020-04-09,TSLA,108842.56,109348.94,1
2020-04-13,TSLA,118199.45,119680.72,1
2020-04-14,TSLA,128916.6,129991.28,1
2020-04-15,TSLA,141408.38,141776.4,1
2020-04-16,TSLA,155200.35,155504.75,1
2020-04-17,TSLA,170497.47,170685.77,1
2020-04-20,TSLA,170654.1,170685.77,1
2020-04-21,TSLA,171894.61,170685.77,1
2020-04-22,TSLA,171887.47,171887.47,0
